1163.00,337.75,595.25,2881.25,170.50,1012.50,573.25,184.50
1264.75,338.75,582.50,2839.75,167.75,1010.50,567.50,184.00
1240.75,334.00,562.50,2834.75,165.50,999.00,567.00,184.25
1248.50,337.75,560.50,2845.00,165.25,1003.75,556.75,183.50
1246.00,335.75,565.50,2846.50,165.25,996.00,570.75,187.75
1236.50,339.00,567.50,2856.50,164.25,999.50,563.50,185.75
1259.75,339.00,570.25,2902.25,166.75,1027.25,574.75,187.75
1275.75,341.75,565.25,2853.25,167.50,1028.50,571.50,183.50
1257.50,338.75,564.25,2860.00,166.75,1016.00,572.75,182.50
1252.75,336.75,569.75,2853.50,168.75,1019.75,573.25,189.25
1253.25,334.75,557.50,2824.25,163.75,1007.25,570.50,188.75
1250.50,332.75,570.00,2844.75,163.50,1007.25,567.00,184.00
1249.00,332.25,558.75,2820.75,161.00,991.50,557.75,185.00
1294.75,334.00,567.50,2849.00,164.50,1008.00,567.00,183.50
1245.75,334.75,558.75,2827.50,161.25,1004.75,566.00,187.00
1239.50,334.25,561.75,2843.25,164.00,1014.25,570.25,183.00
1243.75,331.75,561.50,2847.00,162.75,996.25,570.50,183.00
1239.75,326.25,553.75,2840.00,162.75,1008.00,568.00,184.75
1244.50,330.50,559.75,2842.50,163.50,1018.25,568.50,183.00
1229.50,330.25,552.75,2807.75,159.75,1009.25,564.50,184.25
1263.50,338.25,569.25,2870.00,165.25,996.25,571.00,187.00
1295.75,327.75,556.25,2865.00,163.75,1015.00,564.25,185.75
1221.75,329.75,560.00,2850.50,164.25,1008.50,569.25,182.50
1227.75,326.50,554.00,2839.00,163.75,995.25,567.50,183.75
1231.25,328.00,554.50,2832.75,162.25,991.75,558.00,182.75
1231.00,327.00,555.00,2798.50,162.00,997.00,568.50,184.75
1239.25,332.00,558.00,2823.50,161.25,986.75,555.75,179.00
1253.00,332.00,560.50,2779.00,156.75,990.50,563.00,186.00
1232.00,328.75,558.75,2826.00,159.00,974.00,554.00,180.25
1216.00,322.25,553.25,2809.75,157.50,976.50,558.50,180.75
1211.75,332.25,545.50,2795.00,165.25,988.50,557.25,181.00
1245.50,331.00,561.50,2840.00,162.75,989.50,561.00,182.75
1229.50,334.75,552.50,2806.00,160.00,990.75,556.50,182.75
1230.50,329.50,555.50,2823.25,159.50,969.25,548.25,179.25
1287.75,323.50,541.75,2804.25,157.50,982.75,552.25,178.50
1224.75,326.75,550.75,2807.25,159.25,991.50,559.00,182.25
1223.00,329.25,549.75,2777.00,157.75,980.25,557.00,183.00
1216.75,327.75,552.25,2808.50,161.75,984.25,557.50,178.50
1226.00,327.50,549.50,2777.75,157.25,983.00,555.25,181.50
1224.50,328.50,548.50,2775.25,159.00,984.50,557.25,183.75
1236.00,328.25,551.75,2815.25,159.50,1000.75,560.25,185.50
1259.50,336.25,558.75,2870.00,161.50,994.50,560.00,181.50
1244.50,335.25,555.50,2793.25,161.25,992.25,561.50,182.50
1244.75,335.75,556.50,2856.00,161.75,1005.25,571.75,187.25
1261.50,339.00,565.75,2849.00,166.75,1003.25,565.75,186.50
1261.00,339.75,556.00,2806.00,159.75,997.75,566.75,183.50
1244.25,336.25,576.00,2852.50,163.00,998.00,573.25,185.25
1243.25,331.75,556.50,2792.00,161.50,1014.25,561.75,183.00
1291.75,331.25,546.50,2845.25,162.00,986.25,555.25,182.75
1251.00,331.75,556.25,2836.25,161.25,989.25,561.25,182.25
