C1-S1-D1,C1-S1-D2,C1-S2-D1,C1-S2-D2,C2-S1-D1,C2-S1-D2,C2-S2-D1,C2-S2-D2
3943,370,76,5056,108,4050,1218,142
4032,373,77,5045,105,4089,1226,141
3976,378,76,5009,106,4025,1221,141
4019,378,77,5012,105,4028,1204,144
3970,372,76,5046,106,4069,1203,142
3984,379,77,5040,104,4022,1212,141
3987,374,77,5031,106,4015,1212,140
4019,375,77,5031,105,4104,1193,142
3992,376,77,5034,107,4114,1244,143
3956,371,76,5022,105,4058,1224,141
3952,375,77,5057,105,4086,1227,142
4037,374,77,5016,106,4054,1215,145
4039,372,77,5010,105,4125,1208,146
4042,373,76,5045,106,4106,1216,144
4042,374,76,5016,106,4027,1227,139
3973,372,77,5024,105,4032,1191,141
3968,374,76,5020,104,4035,1221,142
4010,378,76,5018,104,4087,1202,141
3999,372,77,4997,106,4082,1214,140
3949,378,77,5028,106,4108,1190,140
3952,373,77,5056,107,4086,1195,141
4036,376,77,5031,107,4086,1221,140
3957,375,76,5071,106,4078,1214,143
4029,369,77,5039,106,4073,1216,140
3978,375,76,5043,105,4025,1220,140
4035,373,76,4992,103,4034,1196,143
4032,372,77,5051,104,4102,1199,142
4023,375,77,5046,106,4099,1191,142
3961,377,77,5071,106,4051,1199,143
3997,374,77,5002,104,4073,1216,143
4003,370,77,4994,106,4100,1187,139
3960,377,77,5055,107,4111,1206,142
3977,372,76,5038,106,4130,1203,140
3991,369,76,5030,103,4021,1215,144
3969,371,76,5040,104,4040,1202,141
4033,374,76,5037,105,4066,1208,144
3988,376,76,5057,106,4078,1198,141
3998,376,77,5059,105,4109,1201,142
4037,377,76,5035,106,4086,1225,142
4021,373,76,5047,106,4034,1196,145
3994,377,76,5050,106,4125,1201,139
4011,373,77,5039,106,4028,1213,140
3993,376,76,5060,107,4040,1202,144
3972,378,76,5031,106,4092,1170,143
3992,373,76,5068,104,4097,1195,142
4045,377,77,5038,104,4129,1211,141
3980,368,77,5065,105,4087,1216,139
4031,374,77,5039,105,4062,1232,141
3982,379,76,5027,104,4041,1191,144
4053,374,77,5023,106,4098,1213,140
3979,370,76,5050,107,4130,1216,141
4065,372,77,5023,108,4091,1201,140
3996,376,77,5042,107,4070,1221,142
3946,374,77,5028,106,4103,1209,138
4037,377,76,5057,108,4056,1218,141
4050,372,76,4989,106,4035,1232,139
3980,372,76,5017,105,4078,1201,143
4024,375,77,5019,106,4057,1187,143
3986,374,77,5056,105,4101,1208,143
3973,375,76,5068,103,4075,1204,142
3979,375,76,5037,104,4025,1187,142
4053,372,76,5027,108,4033,1203,140
4060,370,77,5024,103,4131,1181,140
4038,373,76,5073,107,4091,1222,141
4037,376,77,5049,103,4131,1189,143
3977,370,75,5024,106,4087,1188,143
4037,372,76,5052,103,4060,1205,139
3972,371,77,5060,105,4075,1180,141
3978,371,77,5048,108,4054,1194,142
4021,372,77,5039,106,4058,1202,141
3981,376,77,5006,107,4044,1188,142
3997,370,77,5019,105,4049,1196,139
3952,374,77,5022,107,4098,1199,138
4020,376,77,5071,106,4114,1178,143
4043,371,76,5065,104,4092,1188,146
3997,371,77,5029,105,4107,1216,142
3953,370,77,5022,104,4069,1199,139
3998,377,77,5070,104,4110,1196,142
4039,375,77,5058,106,4129,1208,144
4043,375,76,5062,105,4086,1234,145
3977,369,77,5032,105,4108,1211,142
3980,371,76,5017,105,4067,1183,142
4038,375,77,5021,104,4053,1209,139
4034,379,76,5021,105,4098,1221,141
3975,368,76,5049,105,4063,1215,140
4053,375,77,5020,107,4016,1210,141
3977,372,77,5033,107,4032,1215,141
4037,373,76,5010,104,4077,1213,141
4051,377,76,5021,108,4101,887,143
4023,374,77,5031,105,4076,1215,139
4038,375,75,5020,106,4102,1196,140
4038,369,76,5045,106,4082,1214,144
4035,377,77,5036,106,4070,1201,143
3972,369,77,5010,105,4018,1178,141
4021,378,76,5052,107,4070,1210,143
3989,377,76,4968,105,4019,1204,145
4024,372,76,5016,108,4106,1182,142
3969,370,77,5021,105,4072,1197,142
4044,371,77,4990,105,4049,1189,145
4051,372,76,5027,106,4107,1203,140
4037,375,76,5058,105,4068,1180,143
3959,373,77,5051,105,4078,1208,143
4042,374,77,5046,104,4037,1207,144
3998,375,77,5051,103,4074,1203,141
3988,373,77,5025,106,4116,1189,140
4025,375,77,4998,107,4018,1179,141
4009,375,76,5074,104,4095,1253,142
4037,371,76,5017,106,4021,1172,143
4042,374,76,5044,103,4099,1199,141
3996,379,77,4992,107,4100,1191,142
3995,374,78,5039,107,4027,1201,141
3982,375,77,5028,105,4087,1188,142
4023,372,77,5033,105,4129,1182,142
4035,376,77,5058,106,4050,1212,141
4011,376,76,5048,107,4061,1206,145
4001,375,77,5001,104,4030,1192,141
3961,374,76,5060,104,4076,1194,143
4042,377,76,4999,105,4115,1201,143
3952,378,77,5001,105,4110,1209,142
3950,373,77,5050,108,4090,1199,141
3992,375,75,5026,105,4063,1200,140
4017,371,77,5057,106,4057,1181,141
4019,375,76,4990,106,4102,1181,143
4002,371,77,4989,106,4031,1183,142
4021,372,76,5043,105,4020,1201,143
3940,372,77,5030,107,4050,1191,141
4047,373,76,5026,107,4124,1206,143
3969,372,76,5049,106,4120,1201,142
4025,373,76,5055,105,4052,1192,143
3965,377,76,5048,106,4052,1183,142
4001,369,77,5037,104,4073,1202,145
4064,372,77,5047,106,4069,1193,140
3992,373,77,5033,106,4021,1184,143
3954,369,77,5058,103,4073,1213,142
2741,378,77,5039,104,4118,1186,145
4021,368,76,5070,105,4048,1209,142
4003,373,76,5043,105,4015,1188,139
4027,374,76,5054,103,4109,1189,140
3978,373,77,5023,107,4107,1208,142
4010,372,76,5039,105,4037,1187,146
4029,372,76,5032,107,4103,1196,143
4036,372,76,5059,105,4107,1203,144
3955,371,77,5037,104,4055,1199,143
4028,374,77,5029,106,4057,1198,140
3965,375,77,5023,106,4094,1185,140
3976,373,77,5063,106,4077,1209,143
4054,375,77,5022,104,4125,1211,144
4029,371,77,4989,106,4034,1208,140
4005,372,77,5023,108,4096,1199,142
4006,376,77,5056,104,4085,1202,144
3998,370,77,5002,106,4049,1208,139
3977,370,76,4995,105,4092,1195,143
4000,374,77,5031,106,4084,1195,144
4031,374,77,5014,106,4092,1189,142
4012,373,77,5073,103,4097,1208,144
3970,369,76,5001,107,4089,1207,139
4004,376,77,5026,105,4091,1208,144
3975,373,77,5035,108,4057,1208,143
3995,377,76,5023,107,4061,1205,139
3981,378,76,5045,105,4057,1217,143
3979,375,77,5020,108,4082,1203,142
3983,374,77,5046,106,4050,1192,140
4038,375,77,5043,104,4126,1205,139
4054,376,77,5031,105,4125,1222,141
4020,374,77,5024,106,4056,1195,141
3980,369,76,5033,108,4009,1219,144
4012,376,77,5043,105,4052,1198,142
4019,370,77,5064,106,4085,1195,142
4000,374,77,5042,106,4056,1289,141
3968,374,77,5057,108,4070,1210,140
4020,371,77,5064,107,4022,1194,143
4026,377,77,5045,105,4110,1200,137
3981,369,77,5027,107,4089,1208,141
3972,368,76,5032,107,4089,1197,140
3974,374,76,5055,105,4107,1192,143
3992,379,77,5019,106,4072,1206,144
4024,371,76,4994,106,4089,1229,141
3972,375,76,5063,106,4064,1198,140
4029,371,76,5054,106,4016,1203,145
4020,370,76,5049,106,3715,962,142
4042,369,76,5017,105,4079,1219,143
4052,370,77,5047,103,4034,1206,140
4034,369,76,4991,103,4062,1210,142
3993,370,76,5009,104,4117,1182,143
4026,371,77,5026,107,4020,1218,142
4060,375,76,5037,106,4030,1204,143
3991,370,77,4991,106,4110,1191,142
3962,371,77,5032,105,4073,1213,140
4011,374,76,5059,108,4072,1196,146
4012,372,77,5038,106,4066,1192,142
4030,378,77,5031,104,4049,1184,142
3996,373,77,5005,104,4071,1202,144
4037,374,77,5062,107,4018,1211,141
4005,373,76,5055,106,4107,1213,146
4054,377,76,4988,104,4053,1218,143
4043,377,77,4994,108,4102,1209,143
3972,372,77,5064,106,4015,1212,142
3992,370,76,5055,107,4062,1195,142
3992,373,77,5049,106,4034,1191,143
3991,375,76,5019,103,4107,1204,140
4008,372,76,5073,103,4061,1192,144
3975,375,77,4989,104,4048,1216,141
4036,376,77,5057,104,4083,1190,139
4050,369,77,5006,105,4054,1215,141
3983,375,76,5019,106,4050,1226,144
4067,376,76,5046,106,4082,1201,143
4020,370,76,5053,107,4009,1196,143
3980,371,75,5039,106,4013,1206,141
4011,376,77,5035,105,4049,1219,145
4057,373,77,5016,107,4076,1208,141
4033,373,77,5034,106,4018,1192,141
3965,373,77,5063,107,4047,1184,141
3985,370,76,5061,104,4119,1218,143
4017,372,77,5052,103,4020,1196,142
4032,370,77,5020,104,4071,1204,142
4046,370,76,5022,105,4065,1207,141
3997,372,77,5054,106,4101,1201,145
4032,375,77,5022,105,4117,1205,139
3959,366,76,5060,105,4123,1197,142
3980,369,76,5046,103,4121,1218,143
3954,370,77,5026,107,4022,1203,144
4051,372,76,5054,105,4122,1211,142
4033,369,76,5050,107,4114,1212,140
4000,373,77,5014,103,4061,1198,142
4032,374,76,5018,104,4096,1199,140
4042,371,77,5045,106,4069,1185,143
4003,366,76,5043,104,4091,1193,140
3979,375,77,5035,104,4012,1215,142
4044,373,76,5060,104,4060,1209,142
3982,375,77,5054,104,4079,1211,143
4045,376,77,4998,104,4104,1191,141
3948,372,76,5026,105,4106,1187,142
4044,376,77,5024,106,4107,1203,139
3981,367,76,5028,108,4049,1192,142
4025,371,76,5057,103,4009,1219,143
4039,371,77,5040,105,4049,1211,142
3980,374,76,5024,106,4064,1193,144
4047,373,77,5045,105,4070,1212,143
3997,367,76,5040,106,4104,1214,142
4047,372,76,4999,108,4037,1202,140
4007,372,76,4989,107,4078,1210,140
3993,372,77,5059,104,4066,1198,142
4015,369,76,5039,106,4098,1190,140
4039,375,77,5039,108,4103,1197,141
4004,375,77,5047,105,4018,1220,141
4013,367,77,5043,105,4107,1205,142
4045,370,76,5051,107,4062,1205,144
4051,370,77,5053,106,4032,1190,143
4066,375,78,5026,105,4120,1224,139
4018,369,77,5039,105,4091,1189,140
